"'poort van het paradijs'","","","Nistelrode","51.691186","5.578042","","Yes","Unknown","","","http://lh3.ggpht.com/AIbWOwlxz8DY296sndTsrdKumwmRKTAnEyY7Je9noTCewwOL-1OLtWXgOTu-T3HibRfBSPk3qfcTgu6awcq8"
"'T Gengske","","","Oss","51.768748","5.524279","","Yes","Unknown","","","http://lh6.ggpht.com/qs549hr2f2tfrGBTQW33zUnUTYp-1ApCZYwsC5TzYZkvtqQqdVvQb7t8bzZBXSt2X2a_xvado631IHiXHu_p"
"'t Reut Playground","","","Berghem","51.772529","5.562827","","Yes","Unknown","","","http://lh3.googleusercontent.com/a2hdQKj01eIKmpDDWLmbangJ-kxIk6DfRblxmKJEgkRw84fcQXtD7fe4BV6ZnjmZmReHr2ju3k1LwRt9xXs8Tg"
"(openlucht) theater 'Naat Piek'","openlucht theater, naat piek","","Uden","51.680521","5.643612","","Yes","Unknown","https://www.ingress.com/intel?ll=51.680521,5.643612&z=17&pll=51.680521,5.643612","http://maps.google.com/maps?q=51.680521,5.643612","http://lh5.ggpht.com/MuR1sSP0sOL8LUQQnyNaJRFmzzr_HLPV4V12uDNgqua_WMGSQpr_ud4KIOhucECvA2uqwEyUEMkGgu-3AhEi"
"1 Zachte Berk","zachte berk","bomenpark","Heesch","51.730519","5.559166","","Yes","Stop","https://www.ingress.com/intel?ll=51.730519,5.559166&z=17&pll=51.730519,5.559166","http://maps.google.com/maps?q=51.730519,5.559166","http://lh4.ggpht.com/hWM5ZJVU_KA-SipkWEP92wWOg0GJ4HzlQA_t98SDwa-5PiCxj_bFu5ETVZM0nxULv42EHCpgbM7FKVVf1S0"
"1. Slingeren","","","Nistelrode","51.688197","5.567652","","Yes","Unknown","https://www.ingress.com/intel?ll=51.688197,5.567652&z=17&pll=51.688197,5.567652","http://maps.google.com/maps?q=51.688197,5.567652","http://lh3.googleusercontent.com/uoRoV-ShPmsOqA81x-XkM5hRCeSRiC8ZyzPk7cWSU5REXmu-mSU0m_H8KeyCjhCW-qybJsseIEyq0uQbt4jd"
"11 Katwilg","katwilg","bomenpark","Heesch","51.730294","5.552836","","Yes","Stop","https://www.ingress.com/intel?ll=51.730294,5.552836&z=17&pll=51.730294,5.552836","http://maps.google.com/maps?q=51.730294,5.552836","http://lh6.ggpht.com/BmM7lPOuZEEJKf4Cyx2d2AG4bRS_kztW-v6R4rEy9SCzgHa3Uvzo-u_8Vr5Yo_R7BqCL-6ANtaRjm2s7cumBMw"
"11-11-11","11 11 11, elf","","Nistelrode","51.701043","5.56016","","Yes","Stop","https://www.ingress.com/intel?ll=51.701043,5.56016&z=17&pll=51.701043,5.56016","http://maps.google.com/maps?q=51.701043,5.56016","http://lh3.ggpht.com/6B9DC3nkKzP_sd9zO74TLiZQIuEfE8zNiu6Kk4fWq5GuuPuJnc4CqR_bIJBC-08KAJCOkiY2NXi_mm_jdIAV"
"12 Geoorde Wilg","geoorde wilg","bomenpark","Heesch","51.73007","5.55303","","Yes","Unknown","https://www.ingress.com/intel?ll=51.73007,5.55303&z=17&pll=51.73007,5.55303","http://maps.google.com/maps?q=51.73007,5.55303","http://lh4.ggpht.com/b9LZdJKpSvFEOwkucPO3pKUkQ_K6icivW7b-GiKOhJ9jpFnqFoMbojPV-Ujsu8fGHTxY7u5eugjGQQLVdp9I"
"13 Grauwe Wilg","grauwe wilg","bomenpark","Heesch","51.730176","5.552321","","Yes","Unknown","https://www.ingress.com/intel?ll=51.730176,5.552321&z=17&pll=51.730176,5.552321","http://maps.google.com/maps?q=51.730176,5.552321","http://lh4.ggpht.com/ueuC2mZm7jBJI1BY0DEEUGrdetFBTWqZSP1hrmgJzlp9zguD_DcxWyzGBj11zOjNbFGQZTM98latbglNb4o"
"15 Douglas","douglas","bomenpark","Heesch","51.728998","5.550828","","Yes","Unknown","https://www.ingress.com/intel?ll=51.728998,5.550828&z=17&pll=51.728998,5.550828","http://maps.google.com/maps?q=51.728998,5.550828","http://lh3.ggpht.com/n_jjkAhpN2jRznIVedDfwHhuhi_Dn6WlMBQA-zsNOe2LIWa3Qw_LuQF-swz3V05PIzIxXZzr4MBNm9F_8n-p"
"16 Europese Lariks","lariks, europese lariks","bomenpark","Heesch","51.728837","5.551099","","Yes","Stop","https://www.ingress.com/intel?ll=51.728837,5.551099&z=17&pll=51.728837,5.551099","http://maps.google.com/maps?q=51.728837,5.551099","http://lh4.ggpht.com/C83bfkRKh-SCB4q0gPWKvRqU-1m5flqENVR7QMevrL3KsSD1e3wUM9PEdqDxa93Iz0uN0OqPmUkHC75uTueTJw"
"18. Grove Den","","bomenpark","Heesch","51.727914","5.551615","","Yes","Stop","https://www.ingress.com/intel?ll=51.740911,5.461657&z=17&pll=51.740911,5.461657","http://maps.google.com/maps?q=51.727914,5.551615","http://lh3.googleusercontent.com/kE6TnIvxhZ4YKfCGxouKzkerJ7M_IClmCcBB9cDUIEdov71rsFhndeUwN4cE9xiVZ2K2SxrE-29ol7WzhGVY"
"19 Oostenrijkse Den","den, oostenrijkse den","bomenpark","Heesch","51.728293","5.55136","","Yes","Stop","https://www.ingress.com/intel?ll=51.728293,5.55136&z=17&pll=51.728293,5.55136","http://maps.google.com/maps?q=51.728293,5.55136","http://lh3.ggpht.com/po-rZA86MAHad8hSNuuW_1y0v3ofqRBaE-mtMV9hJtVntyUwrjZxiQA3p0RYpN-LlTn4rFLlRIUHP9b0WI8m"
"2 Pipes","pipes","Kloosterstraat 48","Oss","51.760106","5.540616","","Yes","Stop","https://www.ingress.com/intel?ll=51.760106,5.540616&z=17&pll=51.760106,5.540616","http://maps.google.com/maps?q=51.760106,5.540616","http://lh3.googleusercontent.com/6bI2KkDghMphbviQ-wU63IjA3KAcrzC6FVZHYj4c7Dkp9n8dDuSLy3I5DNcb5WXy_UqWLQfusnI6xBIEFhQDgg"
