"'T Gengske","gengske, t gengske","Heuvelstraat 19","Oss","51.768748","5.524279","","Yes","Gym","","http://maps.google.com/maps?q=51.768748,5.524279","http://lh6.ggpht.com/qs549hr2f2tfrGBTQW33zUnUTYp-1ApCZYwsC5TzYZkvtqQqdVvQb7t8bzZBXSt2X2a_xvado631IHiXHu_p"
"2 Pipes","pipes","Kloosterstraat 48","Oss","51.760106","5.540616","","Yes","Stop","","http://maps.google.com/maps?q=51.760106,5.540616","http://lh3.googleusercontent.com/6bI2KkDghMphbviQ-wU63IjA3KAcrzC6FVZHYj4c7Dkp9n8dDuSLy3I5DNcb5WXy_UqWLQfusnI6xBIEFhQDgg"
"Abstract Art","abstract","Van Schaikstraat 9","Oss","51.756857","5.506629","","Yes","None","","http://maps.google.com/maps?q=51.756857,5.506629","http://lh5.ggpht.com/vjztnIn0zXNcFBIRzCQcwI2a2H-_C-2RWD71BYAgI0HSj4p4HxXZyCNLEWr2epnJcULW8tKlwmwR3ZCgoyjV"
"Archeologische Opgravingen","opgraving","Spieker","Oss","51.776036","5.531531","","Yes","Stop","","http://maps.google.com/maps?q=51.776036,5.531531","http://lh3.googleusercontent.com/2n7-IGSe2y3tWeej0mqoo4ZBkPlqCgjOVrHoeDHiO34S7itBh0Pl1NDv6kj9rwXe6Qf2tpL9BEAOi8dvnx1u"
"Bacchus","","Molenstraat 65","Oss","51.765491","5.526701","","Yes","Stop","","http://maps.google.com/maps?q=51.765491,5.526701","http://lh6.ggpht.com/ZuU7PthmqxX4ViF47rK_IegIjPnzMmTRDgCJYuqUf4svb6K6km3mor7qaptC9ILy9f-hCHYSzESxDB5RPjg-"
"Bakkerij Mural Links","bakkerij, strik","Kromstraat 162","Oss","51.761419","5.506127","","Yes","Gym","","http://maps.google.com/maps?q=51.761419,5.506127","http://lh5.ggpht.com/ZvbFdzsqeFd5E5oBRvBArPCGRf3ZbiONJtf7JSVGS-O8Rq_MZCn_KF7DGzg5I5dnIsJBteKt5SFt6Jq_Bny-"
"Baloon Popper","baloon, ballon, popper","Achter de Vuurloze 5","Oss","51.767566","5.521139","","Yes","Stop","","http://maps.google.com/maps?q=51.767566,5.521139","http://lh4.ggpht.com/Z49108nZku7I6e5gnM895VvQjoUcxJMmHL2sFTsPPkrJdS1jViUFos3QQhzvR4eKiXNKowIsFZ-euscluW6N"
"Bankje Bergoss","bergoss","Oostwal 177","Oss","51.768389","5.528307","","Yes","Gym","","http://maps.google.com/maps?q=51.768389,5.528307","http://lh5.ggpht.com/lbY6UUI7dWsulEEm5d5nXRVX8GbtKg-O3wsXBxTJ-S9HiZKlJMAJm6VUMbct8V7D_dpp_W0a_MM-4JhMq5DR"
"Basketbal Field Zuiderpark","","","Oss","51.760287","5.537265","","Yes","Stop","","http://maps.google.com/maps?q=51.760287,5.537265","http://lh3.googleusercontent.com/J2vkgxbl0tGu-d94bkkx2hlm_lB9tGEo4mCRQnMlWdJ27Frve8sodgQRIJ0LDpBBOH3GIs7E2b5fGECnKx8Z"
"Basketbalveld","","Parklaan 26","Oss","51.776244","5.500207","","Yes","Stop","","http://maps.google.com/maps?q=51.776244,5.500207","http://lh3.googleusercontent.com/U-2h0isGj00xVJn5_oz-GD2FxhDZn4EtPCvzpP2jgW92cENn-3gY42Q5yR84XoW0iK8JMTfoZfmd_EtoOPGZ"
"Bergos Factory Murial","factory mural","Koningsloper 221","Oss","51.767076","5.528739","","Yes","Gym","","http://maps.google.com/maps?q=51.767076,5.528739","http://lh4.ggpht.com/miDk9zPmMqbqALDIoEXQDMbJD6julWXbghznUt5Y_s4aGoy6HqcPOPVss2nHkdQ_WGJbHja_gIf8KhnHXn2F"
"Bermakker Voetbalveld","bermakker","","Oss","51.766123","5.513307","","Yes","Stop","","http://maps.google.com/maps?q=51.766123,5.513307","http://lh3.googleusercontent.com/m9Lp8BB_VKMYcLlrhejb0zA5JJEaDXsVWMyQaAkeFEEp_u-Ifcaxog0Av3Vi0Aozm-7-GepuHV4Y0dFKRLuT"
"Bibliotheek","","Raadhuislaan 14","Oss","51.763808","5.521897","","Yes","Stop","","http://maps.google.com/maps?q=51.763808,5.521897","http://lh3.googleusercontent.com/jbgDx2xL2fi6UwTX_ESKcRJALm6tkEGov4-xyKORdM25uvAqOW08vCKQ0DWTCIc7M9Ne2lzrNDjcDObLGnOC"
"Blauw Rendier","rendier","Anna van Schuurmanstraat 492","Oss","51.751044","5.502255","","Yes","Gym","","http://maps.google.com/maps?q=51.751044,5.502255","http://lh6.ggpht.com/dVwF9hlTi4nY5mOkErHNCUsJgXiM9APePHM5dC_4ge4cp73DesG-YijB8I-w4frC0JSvRkha5DpBFE9ud0Q"
"Blikmikker","","Lisztgaarde 101","Oss","51.754456","5.513163","","Yes","Stop","","http://maps.google.com/maps?q=51.754456,5.513163","http://lh4.ggpht.com/WYpAaCyN0v4U27dLuuX3sFExB8ARC0G0BLs414pyNmx6p-dM3yxWenFzV6xG35-TDnSL4wHiDsXsW_yQOPVFOw"
"Boerderij Dn Deel","dn deel, deel","Treubstraat 27","Oss","51.756947","5.503587","OssNL","","Gym","http://www.openstreetmap.org/?mlat=51.756946&mlon=5.503602&zoom=16","http://maps.google.com/maps?q=51.756946,5.503602","http://lh3.googleusercontent.com/1npRzUDJpoxkupkTUM_gyNgrN5VTBG3cBQrx69vn4MWjVRYLWHQggUSVxy8tYi6fQChgsg0q8KHLzan4cQBt"
"Boombankje","","Sint Barbaraplein 13","Oss","51.767317","5.521434","","Yes","None","","http://maps.google.com/maps?q=51.767317,5.521434","http://lh6.ggpht.com/gONX3Y8vEUtWSW_8XZch-wmC6gePTvRv48mzUX6-4pX06ZKXawO1C5Z-YjtqNHbAx43dbqbHbz0yAvje4cL3"
"Bronzen Ooievaar","ooievaar","Het Eiland 27","Oss","51.781877","5.516682","","Yes","Stop","","http://maps.google.com/maps?q=51.781877,5.516682","http://lh4.ggpht.com/urz3SLXMDvXDekhT7JJE2y7fZKs2UkTAuV__ZAXn4VbYi8whdG4CmREZg6jRI8yz9gadxY-4poYJNGm4Dmwi"
"Butter Art","butter","Kruisstraat 11","Oss","51.767144","5.521663","","Yes","None","","http://maps.google.com/maps?q=51.767144,5.521663","http://lh3.ggpht.com/numjnargdwmp6y4uqb9V-QEc2E2ra104d4dtltk4fSLmMKYzJRylL0oJ__emO1yRreOgjWYfg57U3ee1BsWiVv6GauGYCbaAca4LbALINg-x26c"
"Buurtbewoners","","Brederostraat 47","Oss","51.751888","5.512274","","Yes","Stop","","http://maps.google.com/maps?q=51.751888,5.512274","http://lh3.googleusercontent.com/VMrOHrprCRvd04jqBfUoaTwCQHCIvLJ56nnhXH3sOugR450ZNBdf1SiOoK_XPSMpGOShU8dKMcI4vjRRL3vt"
"Camphuysen Speeltuin","camphuysen","","Oss","51.752204","5.511083","","Yes","Unknown","","http://maps.google.com/maps?q=51.752204,5.511083","http://lh3.googleusercontent.com/jwmVnfPJkuysPiThgtwY_VzZzF-gOao4-NQX4__cwSoA_hHLHkLGgyk9ww7BSOFaGCl_Eyj98wwqlYUczbVs"
"Cow Statue","cow","Haagpoort 69","Oss","51.780308","5.521591","","Yes","ExGym","","http://maps.google.com/maps?q=51.780308,5.521591","http://lh4.ggpht.com/fPtWexxAUG0E_eBuhLkwv22Nwg43wz-guU-Bnorx-Z-1QfnpAik89k3VDcqCoMmGz79IB7hM1k-TeYaZKqGX"
"Cross at Oss","cross","Orseleindstraat 1","Oss","51.772689","5.519807","","Yes","ExGym","","http://maps.google.com/maps?q=51.772689,5.519807","http://lh6.ggpht.com/vPHXVXwZbglwNz1QyppazQMANWVhowuLHKGYPHzJqQ83IVR9w5OrVMUi4hcug0NB9xpvWS6dtxFCz6DSjCv4"
"Cross Zwanenberg","","","Oss","51.756898","5.5237","","Yes","Stop","","http://maps.google.com/maps?q=51.756898,5.5237","http://lh3.googleusercontent.com/-vszOp0TNvT29MFUfcAhdNNTtyrt6mC8C5S26XDW-ii4P8lhhC1XKRM_m8fsDFiQx6uDYY02iKj3goRSE-rL"
"Crossfield Kids West","","Treubstraat 22","Oss","51.75711","5.50412","Laurie/Leon","","Pending","","http://maps.google.com/maps?q=51.75711,5.50412",""
"Crouching Figure","crouching","Anna Bijnsstraat 32","Oss","51.754111","5.508432","","Yes","Gym","","http://maps.google.com/maps?q=51.754111,5.508432","http://lh4.ggpht.com/VJEiqupfuDsHwnX8-zIHzo0rhlZSWB_AaCFqaGgGVVoIl16kYpHxaKn6eqDS8Q4t1ym0ERZqWmUzIwqSOtGOSLHo6r9HQxO6Al8YHcSNM0WlDAw"
"CRUYFF COURT FC OSS","cruyff court","Vijversingel 22","Oss","51.769153","5.545068","","Yes","Stop","","http://maps.google.com/maps?q=51.769153,5.545068","http://lh3.googleusercontent.com/BN1FgQiv0af9BLow6fdngVMVJEt5yKUqzJhUxdt0N8b9R1QmiLPXJ_v07cPbc1JI1oGhhGKP7cZl_oa2lE_m"
"Da Costa Speeltuin","da costa, da costastraat, costa","","Oss","51.746291","5.504999","","Yes","Stop","","http://maps.google.com/maps?q=51.746291,5.504999","http://lh3.googleusercontent.com/gMHmZFj78lZ_D4ayIvBxCfKzZeStsozDeDbstaciaIiEhMRS8XlJFQLolgOUVgqMlPc2yOHUnwD5lJamm40"
"De 3 Paters","3 paters","Koornstraat 36","Oss","51.772489","5.525453","","Yes","Gym","","http://maps.google.com/maps?q=51.772489,5.525453","http://lh4.ggpht.com/hNY5vpuJR88FAgqxa-Mn6SVHeiH023G0JfzoI9ReG0R8mzC2lZKGWwnB74euiQLd6axYsu4mQAzSJbiDeDRH"
"De 3 Zitjes Van Thus V Kimmenade","3 zitjes","","Oss","51.763445","5.520792","","Yes","Stop","","http://maps.google.com/maps?q=51.763445,5.520792","http://lh3.googleusercontent.com/Wqk6UWRVTINgGz9a_DS5D9RHfcvSDOWaBMCTcj15140hlGzR6cwF7hzjC7Q1k33dZYxrNZtX1m9Z7BUgPVc"
"De Duiker","duiker","Parklaan 46","Oss","51.776988","5.498913","","Yes","Stop","","http://maps.google.com/maps?q=51.776988,5.498913","http://lh3.googleusercontent.com/3hp7LydRFkNZz8lTZlA3yzodlYaFfAwX_5ieXAr0kRUZ9_UxYu43i4MCn7uTzdr8is6DAstBEovlNL85Ixs"
"De Edelen","edelen","De Edelenburg 12","Oss","51.776756","5.515381","","Yes","Stop","","http://maps.google.com/maps?q=51.776756,5.515381","http://lh3.googleusercontent.com/Aq5avTLVmRoPSooyPHsbY0R80ZvwPogdGiB7SntBOp_fgzKt-CNB00y0uItA6vT15IFZJWTyQhrO23m1MMqGfA"
"De Harlekijn","harlekijn","Heuvel 25","Oss","51.769635","5.525561","","Yes","Stop","","http://maps.google.com/maps?q=51.769635,5.525561","http://lh4.ggpht.com/x8lya5zLoNUaFGGxMb_a2KQCdYDMTYPcd9TohJrqavPh15glZLM-LVtX3aGuxl4DKKmx5GHKcJgcmaI5E22Q"
"De Pil van Organon","pil, pil van organon","Gasstraat 12","Oss","51.764642","5.53039","","Yes","Gym","","http://maps.google.com/maps?q=51.764642,5.53039","http://lh3.googleusercontent.com/AiMBJjQCtFnXe-RS4uN8DTbV3qzD6gZbbha5i5wzNaaN5Ytd3B2UnYXfScCwB8QAJV5ucdmO0CmbGFGz3ek"
"De Schaepskooi","schaepskooi, schaapskooi","Troelstrastraat 13","Oss","51.755434","5.502799","","","Removed","","http://maps.google.com/maps?q=51.755434,5.502799",""
"De Slang","slang","Verdistraat 374","Oss","51.751101","5.516733","","Yes","Stop","","http://maps.google.com/maps?q=51.751101,5.516733","http://lh3.googleusercontent.com/LSyhlZneN_DS5gpSiO5zZh6bq3Do-iO6dCuhj1gUqawVVRsMd7N8RSH2rixijupDkDWWyQgKqJryboYtoSNB"
"De Speelbes","speelbes","Bessenlaan 24","Oss","51.770002","5.503801","","Yes","None","","http://maps.google.com/maps?q=51.770002,5.503801","http://lh3.googleusercontent.com/BVUZgQDPOIJxIaYsnYt2_NTsHygo9_1UOZkM8YAnV2SItPwUW9WwGKeWCkGRat1o-QZ80y8zt6gt4UNDXR8"
"De Spie nieuwe horzak","spie","Malpad 12","Oss","51.779267","5.534374","PLP","No","Pending","","http://maps.google.com/maps?q=51.779267,5.534374",""
"De Trekschuit","trekschuit","Teugenaarsstraat 27","Oss","51.768573","5.532947","","Yes","Stop","","http://maps.google.com/maps?q=51.768573,5.532947","http://lh3.googleusercontent.com/quNbaycTnYVnAmGIftEGX5uzv9MnoRjoo-ka7enxrf4kayE4Q5xx0pcMeuvjMk-znGN221OoqY91M5Hopinz"
"De Voetbal","voetbal","Amsteleindstraat 25","Oss","51.760731","5.49413","","Yes","Stop","","http://maps.google.com/maps?q=51.760731,5.49413","http://lh3.googleusercontent.com/x5PclKB38mU_nTnMqHZIq28qNzHWZ88Bcn_dngdLLFN4vnS4l1s2NKJUIqPV0L1uN-3_Nz0Fddodgc73YRO-yg"
"De Waterdrager","waterdrager","Voorburcht 12","Oss","51.778159","5.506949","","Yes","Gym","","http://maps.google.com/maps?q=51.778159,5.506949","http://lh4.ggpht.com/6A9BTuzJs8YYv1jtV1fkYPnHaTGE9cC2Ea3eoQtTcoEo2TIpikjPumkhAcXEzdQeHDWAf5_XyLbK2zsQQKy3SA"
"De Zonnende Dame","zonnende dame","","Oss","51.774125","5.521523","","Yes","Stop","","http://maps.google.com/maps?q=51.774125,5.521523","http://lh3.googleusercontent.com/SWrRzbfrozxo-X3p_2JMTIK2DQZ1O9C-Lr1rrJOJeCjUlQrDomGjsNv8Suk38EOMAbnCx5yp08lwU-Ve6nrBvw"
"Dierlijke figuren","","Raadhuislaan 51","Oss","51.763812","5.520768","","Yes","Stop","","http://maps.google.com/maps?q=51.763812,5.520768","http://lh6.ggpht.com/Q7H12P7l6KIL4p09iLLM4TQdWhG2WSeBkZBi3nqenfdClE-pfBQVb8vxtLoYmdqkruYHhL1mS3JVlDAkUYM"
"Docfapark Hertenkamp","hertenkamp","Bremlaan 11","Oss","51.748606","5.542061","ONL 20180620","No","Pending","","http://maps.google.com/maps?q=51.748606,5.542061",""
"Docfapark Playground","docfapark","Bremlaan 108","Oss","51.748951","5.542352","","Yes","Stop","","http://maps.google.com/maps?q=51.748951,5.542352","http://lh3.googleusercontent.com/YivF1xagdkAiyhVODXJtb9impys2NVORzZ-01Czm24wS3iC53X0_f7srsYUZ5Zk7OIstyj9G1gBh06DLrAA"
"Dorus Hoeks Speeltuin","dorus, dorus hoeks","Tuinstraat 15","Oss","51.768487","5.51666","","Yes","Stop","","http://maps.google.com/maps?q=51.768487,5.51666","http://lh3.googleusercontent.com/Bby0z-5PgEGvmeQSaiLB8j5OmfGjxi4fJaHPeSZo3f4w2tbWWSY3fO_juXqsmEQsYbBTt-fMFOtOyEwCd1o"
"Dr Zwanenburg","zwanenburg","Kloosterstraat 6","Oss","51.762884","5.533424","","Yes","Gym","","http://maps.google.com/maps?q=51.762884,5.533424","http://lh6.ggpht.com/DUUvo-evZEX30bpef1DcW4EB6cFMwXxPYl3pzzICA6zCflfFV1bp8F1uU6FuEyU2FSLPf474CqnwG5-y1nSa"
"Dr. Adrianus van der Steen","","","Oss","51.767668","5.533989","","Yes","Unknown","","http://maps.google.com/maps?q=51.767668,5.533989","http://lh3.googleusercontent.com/2qFAdMlVPqZUjhZ0oWHEaKiLJ2eew51_oNVj6IbNeQWq0bsi3a0OY-0JcTm37ohC3mYkOpLf4FCkdynm1xs"
"Draak","draak golfbad oss","Euterpehof 10","Oss","51.76011","5.519375","","Yes","Gym","","http://maps.google.com/maps?q=51.76011,5.519375","http://lh6.ggpht.com/_7LzOHP8gS49o0r0xMegZOZApkOerWX20NlaNuT_yultW-fZkZB1WLhAOjNzmIWzcPtgCZVsY8_L3zI2Egm6Ug"
